Student_ID,First_Name,Last_Name,Gender,Age,Class,Section,Roll_Number,Email,Phone_Number,Address,City,State,Zip_Code,Date_of_Birth,Admission_Date,Attendance_Percentage,Math_Score,Science_Score,English_Score
SID068,Thomas,Hansen,Female,16,10th,A,31,amanda37@gmail.com,001-404-292-0990x17818,"7961 Stark Rest Apt. 494, Robertmouth, AZ 87342",Kellymouth,Iowa,07432,2007-11-08,2025-10-14,75.08,93,46,79
SID069,Kenneth,Bray,Male,18,9th,A,5,tosborn@wilkins-rice.com,920.747.7060x016,"024 Taylor Mill Apt. 800, Port Thomasside, RI 43511",Raymondview,New Mexico,58246,2011-08-25,2023-09-06,86.96,60,91,51
SID070,Connor,Bradley,Female,14,12th,C,18,mperez@brooks-rosario.org,+1-263-807-5080x869,"8007 Green Walk Apt. 594, South Michael, DE 02994",East Mariashire,Iowa,75516,2011-12-31,2022-02-15,95.5,49,40,97
SID071,Ariana,Novak,Male,19,12th,B,45,crystalnguyen@lopez.com,257.627.6138,"0081 Corey Knoll Suite 213, Williamsburgh, SC 56881",Kingburgh,Mississippi,22155,2007-02-20,2025-02-13,95.27,96,53,97
SID072,John,Camacho,Female,17,12th,A,35,andrew51@kim.com,454-910-7802,"12509 Sarah Station, Troyborough, NC 74750",North Gregory,Idaho,32347,2008-03-03,2022-11-29,75.45,48,45,94
SID073,Theresa,Rodriguez,Male,16,11th,B,13,villarrealerin@briggs.com,(466)680-3182x917,"275 Ann Well, Port April, UT 57789",West Carlos,Louisiana,58649,2011-05-30,2024-10-04,95.08,71,45,69
SID074,Daniel,Oliver,Male,15,12th,A,26,christine35@edwards.org,(830)002-3486,"2706 Crystal Centers, North Cole, AK 27344",South Malloryberg,New York,12878,2012-03-11,2022-07-18,78.0,75,63,72
SID075,Loretta,Burnett,Female,15,9th,B,40,joseph62@hotmail.com,+1-846-377-5549,"2635 Erica Passage Suite 025, Ryanport, AZ 34809",Robertborough,Alabama,58718,2012-01-26,2025-01-15,80.8,59,92,87
SID076,Nicole,Lee,Female,19,10th,B,34,benjaminvillegas@gmail.com,(089)724-1278x29035,"63483 Billy Village Apt. 208, West Amy, MS 68764",Harristown,Connecticut,47682,2009-01-31,2024-10-01,98.71,47,99,97
SID077,Claudia,Gibbs,Male,17,9th,B,33,david96@holland.com,+1-416-753-3651,"Unit 2854 Box 7001, DPO AE 26691",Robertsburgh,Louisiana,34907,2009-04-16,2025-01-28,87.37,94,81,73
SID078,April,Allen,Female,15,12th,C,34,brandyhaynes@gmail.com,(461)543-9399x9331,"68379 Randy Meadows, Port Robertafurt, MI 06626",Stanleymouth,Oklahoma,15135,2005-05-28,2023-09-03,96.98,47,72,89
SID079,Rachel,Butler,Female,17,10th,B,35,anne85@webb-luna.net,001-838-413-7485x29058,"641 Michael Lane Apt. 998, Joeview, OR 25366",South Douglasshire,California,24075,2006-11-14,2022-03-23,88.18,95,68,70
SID080,Kelly,Roberson,Female,16,9th,C,57,jody02@yahoo.com,986.306.4609,"1670 Anderson Center, Scottborough, WV 74610",West Eric,New Mexico,97678,2006-10-05,2025-05-22,98.69,77,97,76
SID081,Monica,Ward,Male,16,12th,B,44,hortondaniel@buckley.com,+1-411-346-5537x36477,"4529 Torres Street Apt. 495, West Daniel, KY 11462",West Christinahaven,Minnesota,85022,2010-10-07,2023-02-18,84.13,58,90,82
SID082,Cynthia,Andersen,Male,17,12th,A,1,alexander52@gmail.com,(644)244-1557x494,"20133 Andrew Hollow Suite 859, South Amanda, MN 55605",Port Douglas,Maine,80263,2010-08-09,2025-10-20,77.47,61,84,69
SID083,Tracy,Anthony,Female,19,12th,A,33,melissaparks@bell.com,(990)794-4512,"12120 Diana Turnpike Suite 890, Kristieside, AR 20204",South Charles,Washington,54795,2006-04-05,2024-07-25,76.39,85,67,57
SID084,Rebecca,Martinez,Female,14,10th,A,59,aprilflynn@moore-diaz.biz,+1-913-488-0623,"6791 Brenda Orchard Apt. 175, Huffside, AZ 27675",North Brianna,Michigan,80120,2007-12-08,2025-04-16,75.69,81,90,49
SID085,Robert,Hancock,Male,16,10th,C,44,elizabethstrickland@bryant-poole.com,7559036109,"7295 George Pass Suite 260, Lake Andrewland, NM 74649",Lake Patriciaberg,Nevada,26464,2005-12-30,2023-08-02,74.46,52,78,59
SID086,Amy,Wolf,Male,20,11th,A,36,greenphilip@gmail.com,688.078.9589,"3834 Lawrence Knoll, Lake Christineburgh, KY 49057",Wilsonton,Missouri,24956,2005-06-13,2025-10-09,90.36,96,68,66
SID087,Brooke,Fischer,Male,15,12th,B,9,ashley45@gmail.com,(031)517-3883x399,"125 Jared Ridges Apt. 073, Priscillashire, WV 82830",New Jennifershire,Nevada,54332,2012-01-11,2023-01-03,97.4,50,56,69
SID088,Gail,Glass,Female,18,12th,B,6,jaredrichards@wilkinson-jackson.com,+1-015-456-9334x420,"8849 Michael Greens, Bowenland, CT 87822",Johnville,Oklahoma,26037,2008-08-13,2022-05-16,86.47,57,69,67
SID089,Janet,Little,Male,18,12th,C,50,anthony88@washington.com,001-358-195-0621x67568,"100 Mcclain Mills Suite 462, North Gregorychester, WV 10932",Beckerville,Rhode Island,28590,2007-02-07,2022-03-21,90.19,71,64,79
SID090,Jose,Kelly,Male,15,9th,A,47,donna26@walsh-reese.com,+1-902-591-3258x76314,"PSC 3017, Box 4052, APO AP 02209",Port James,New York,91176,2011-07-31,2026-01-07,88.51,57,83,77
SID091,Joseph,Perkins,Male,17,9th,B,35,gabrielle68@hotmail.com,(419)422-4859x3612,"7038 Clements Freeway Suite 600, Port Anthonyport, ND 79509",Port Terriland,Iowa,11061,2007-02-07,2025-07-09,90.0,65,88,40
SID092,Lynn,Summers,Female,19,9th,C,1,williamjohnson@hotmail.com,081-481-9096,"04955 Roger Shoal Suite 552, Jenniferland, TX 84072",West Karenchester,Wyoming,79655,2010-10-17,2023-04-12,92.38,55,86,62
SID093,Roberto,Holmes,Male,17,10th,A,7,grhodes@hayden.net,2609161451,"2695 Patrick Rest Suite 329, North Aaronfurt, AZ 33723",East Rachelton,Iowa,09106,2011-11-09,2021-06-10,93.43,75,66,57
SID094,Sergio,Lucas,Male,19,11th,C,8,brandonsmith@harris-stone.com,(992)852-2905,"01820 Paul Roads Apt. 373, Adamtown, KY 44450",South Peter,Maryland,71701,2006-02-19,2024-08-06,70.72,86,40,87
SID095,Amber,Watson,Male,19,11th,B,10,darren84@hotmail.com,+1-752-155-5835,"781 Theodore Manor Suite 681, Davilaside, VA 65431",Micheleport,Rhode Island,60664,2010-11-23,2024-11-05,92.64,48,90,65
SID096,Wanda,Doyle,Male,14,11th,B,44,debra99@watkins.info,(788)260-7500x9627,"249 Carson Cove Suite 746, Earlstad, DC 45646",Christopherview,South Carolina,79133,2006-01-01,2024-10-28,77.25,62,50,75
SID097,Jessica,Ortiz,Female,18,10th,C,30,ecervantes@williams-martinez.com,073-205-0449x98449,"013 Snyder Oval, East Kimberlybury, RI 02517",Port Kelly,New Mexico,98584,2011-02-04,2021-09-24,72.77,72,66,81
SID098,Gregory,Tran,Male,14,11th,C,22,john24@schmidt-santiago.net,5139374102,"68365 Bryant Mills, Port Sherry, KS 70182",West Sarahville,Alaska,65707,2005-06-02,2022-12-22,81.78,54,58,52
SID099,Steven,Wong,Female,19,12th,C,60,idouglas@long.com,292.345.8304,"75885 Bell Dale, Weaverfurt, RI 11231",East Kristina,Kansas,96224,2009-07-11,2023-06-10,99.28,94,44,66
SID100,Sarah,Kline,Female,18,12th,A,30,jbrown@yahoo.com,662.288.3096,"10486 Tyler Radial Apt. 218, New Jessica, MT 24605",North Shawn,Kansas,24213,2008-09-26,2022-10-31,89.96,63,50,90
